product_id,product,ventas
P002,Laptop Pro 15 | Laptop de alto rendimiento con 16GB RAM y procesador de última generación.,10
P017,Mini Drone AirLite | Drone portátil con cámara HD y estabilización electrónica.,17
P004,Smartwatch Fit 2 | Reloj inteligente con seguimiento deportivo y monitor de ritmo cardíaco.,15
P013,Control de TV Universal | Control universal compatible con múltiples marcas.,21
P016,Horno Eléctrico Max | Horno eléctrico con capacidad de 45L.,15
P001,Auriculares Pro X | Auriculares inalámbricos con cancelación de ruido y batería de 40 horas.,18
P012,Batería Portátil 20k | Powerbank de gran capacidad con carga rápida.,13
P006,Cámara ProShot 12 | Cámara fotográfica digital con zoom óptico y grabación 4K.,9
P018,Ventilador SmartCool | Ventilador silencioso con control remoto y temporizador.,13
P010,Teclado Mecánico RGB | Teclado mecánico con switches Blue y retroiluminación RGB completa.,11
P008,Smart TV 50 UHD | Televisor 4K con soporte HDR y streaming integrado.,18
P011,Monitor Curvo 27 | Monitor curvo con frecuencia de actualización de 144Hz.,12
P015,Disco SSD 1TB | Unidad de estado sólido NVMe de alto desempeño.,16
P009,Barra de Sonido X200 | Sistema de sonido envolvente compacto de alta fidelidad.,21
P005,Smartwatch Fit Max | Reloj inteligente avanzado con oxigenación en sangre.,10
P014,Mouse Gamer Viper | Mouse ergonómico con sensor óptico de alta precisión.,13
P020,Tablet Vision 10 | Tablet HD de 10 pulgadas ideal para estudio y multimedia.,21
P019,Microondas SteelHeat | Microondas de 23L con múltiples modos automáticos.,19
P007,Silla Gamer Pro | Silla ergonómica con soporte lumbar ajustable.,15
P003,Cargador Turbo 30W | Cargador rápido compatible con USB-C Power Delivery.,13
